,Query,Response,Generated Response
33,I keep on begging him to come back. I am so unhappy with him but am so scared of being a single parent to our son. I was abused as a little girl and that has made to be very abusive to men. What should I do...,"Major change frightens almost everybody.Don't be so afraid of your fear that you let yourself beg and are willing to accept unhappiness as a standard in your marriage.If you start considering that life can be better than what is current for you now, new possibilities and ideas will start developing in your mind.Consider finding a therapist so that you have private space to talk in detail about your fears and the new ways of seeing your Self.A therapy relationship, since it is safe and supportive, will be a good balance to having been abused, suffered, and unhappy."," Hi New Jersey,You talk about two very big changes in your life that have been very traumatic for you. The first is a drastic change in your attitude. Your husband was released from prison three times (once for a minor offense and once for a felony). He came out to you and told you he was released from prison altogether. He was released on $5,000 bail.  Now that you have been released he is on a $5,000,000 bond. Am I right that he should get a new bond? The other thing that sometimes happens is a new person starts to ask for and receive sex from someone else. This is one of those situations where a new person gets a bond, which usually lasts a few years. You can always ask the person your question and ask them to get a new understanding and compassion for what you are going through.I believe that a new relationship can last or be formed. It's never about what everyone else says. It's about who you are. I have known a few guys for a long time who were successful in getting people to like and leave them with sex. He might be curious to know the details of what happens to him over time. He doesn't care. He just wants to get sex.That's all I can say. Wishing you the best"
34,"My friend’s husband is bipolar and refuses to take medication for it. He has taken the wheels off her vehicle before to prevent her from leaving. He has held her a prisoner in her home. He has choked her, hit her, etc. She has almost divorced him a couple of times but always makes up with him, thinking that he is going to change. She and I went to a wedding out of town in September of 2014, and ever since she has been back, he is convinced that she cheated on him while we were gone. Now he is saying that I have also cheated on my boyfriend and has come to my house and told my boyfriend this.","I’m glad that you  are seeking help and that you are supporting your friend. I’m sure this is all overwhelming and frustrating for you. The biggest thing you can do for your friend is to be supportive as you are already doing. Unfortunately there isn’t much you can do for her outside of that because it is up to her husband to change and up to your friend if she wants to leave. There are things you can do to support more: it might be helpful for her to have some information on a domestic violence non profit in her area because they can assist her in many areas if she wants to leave. They can also provide you with support while you go through this with her. The nonprofit can also safety plan with her and it might be helpful for you to do it with her if you want to. Another thing you can do is support her in decision to stay with her husband or not despite what she decides. Many victims decide to stay with thier abusive partner for many reasons. It is important to support her decisions, even if you don’t agree with them, because she may have very little decision making in her relationship. I would also encourage you to make sure you are taking care of yourself while you support her so you are not becoming too overwhelmed. Here is some info that might be helpful to you. https://abuseintervention.org/sandbox77/wp-content/uploads/2012/03/How-to-Help-a-Loved-One.pdf","question: My friend’s husband is bipolar and refuses to take medication for it. He has taken the wheels off her vehicle before to prevent her from leaving. He has held her a prisoner in her home. He has choked her, hit her, etc. She has almost divorced him a couple of times but always makes up with him, thinking that he is going to change. She and I went to a wedding out of town in September of 2014, and ever since she has been back, he is convinced that she cheated on him while we were gone. Now he is saying that I have also cheated on my boyfriend and has come to my house and told my boyfriend this. context: I’m glad that you are reaching out for help. The first thing that I want to know is, is, who is this guy telling you to feel?  What do you see in the past of this guy that would benefit from honest communication? Is he telling you he's the one in control of his life, or is he telling you he's the one to make sure that your life is safe? If he is the former then talking with a therapist is a good idea. It will help to address whether the relationship is still or going to be a healthy one and how, if true, it would be good for the two of you to talk about how it would be better for the two of you if one of you remained in the relationship. If true, it would be good for you both to explain your position very clearly and explain why you both want to remain in the relationship. If the relationship is being harmful to the two of you, then you want to explain to him the harmful relationship you both have and why you both want to remain in the relationship. If the relationship is being beneficial to the both of you, then it would be good to explain why you both want to remain in the relationship and how you both can make that happen. If the relationship is not being beneficial to the both of you, then it would be even better to leave the relationship. I don't know that it's the former's business whether the two of you can remain in the relationship unless there are some legal complications that prevent that. If the two of you can't talk about what each other wants or what is best for each of you, then it would be good to see if there is anything you can do to get your license to practice in the state that it is in. If there is no such thing as being healthy here, then it would be possible to abstain from all substances, but not alcohol, weed, or sex. If the two of you can't talk about anything beyond this being a ""health problem"", then it would be time to actually start looking into couples therapy for couples therapy. I don't know how old you are, but if you are between 15 and 35, that can be a really big help for you. If you are able to save money and do other things that you enjoy, that may be something you could work with depending on what your niece is up to. I know she is, and I don't deny him the enjoyment that comes with that, but it would be so important to have someone there to help her understand that. If there is no one there to help her understand that, then it doesn't mean there is something wrong with him. There is obviously something wrong with her, but there is nothing that anyone can do to change their former partner. I think it would be really cool to have a therapist do some self-care and to talk with him a lot about what might be helping her. A lot of times, when someone is worried about him, it is really helpful to have a therapist or some other support in place before he starts to have these fears. He may be a good listener to talk with you about how he is feeling, but he doesn't have the ability to understand what the fear is that he needs to understand what the fear is like. So, it is really helpful for the both of you to have a plan in place to process the fears between you; to make sure that you are both aware of the danger and make sure that you take reasonable care of yourself about your position.As far as whether your husband will talk to you, he may feel like he is just as scared about it as you are about him. Also, depending on what you mean about wanting to wait or to discuss this with him, some partners may feel that they can understand in what direction to wait or not talk about this. This can be a very difficult conversation and the two of you can have a conversation if that is the case. Let him know what is difficult about talking with him.I don't know what you think about the idea that he doesn't want to talk?If he does have the right to do so, then this is a great opportunity for you to have a conversation about what you would like him to do so that he understands the meaning of the conversation and what you want him to do so tha"
35,"I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he never wants to talk and often blames me for everything. I’m always there when he needs my help. He tells me although I help him doesn’t mean that I am a good person. He always discredits me as a woman and it’s hurtful. I spend most day crying and feeling lonely. I am unhappy and unsure of what I need to do.","That sounds like a very hurtful situation. Unfortunately, without a batterers intervention course or a desire to change, the abuse cycle is unlikely to stop. I do not recommend that you try to leave on your own due that being the most dangerous time when in an abusive relationship. As an abuser, his goal is to control you whether it's through mental or verbal means. I recommend that you contact a domestic violence shelter in your area. I have worked closely with Harbor House of Central Florida and know they provide housing, transportation, and any other needed resources to women leaving an abusive relationship. There is help out there and you are not alone. If you need any additional resources in your area, please don't hesitate to contact me."," Hi Smyrna,Your first sentence says it all. He's a cheater. Cheating is something unacceptable for you. What are your own thoughts on this? I hope some other people's thoughts are helpful. I hope some others are better or more helpful. If you have trouble finding your own thoughts, take a moment to reflect on what you realize important in the world and what you feel is important to you. Share a moment with a trusted friend or therapist. It's easy to do. Reflect a little more on what you realize you matter to others. Are you an emotional connection that you can share with someone? Are you a person that you can be emotional with? Are you a good listener? Are you emotional about food and drink? What kind of relationship are you? If you think you have some of these things under your belt, you are not alone"
36,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.","There are many different ways that can be approached in your situation.1. I would recommend a complete medical examination including blood test. i would want to know if there are any medical issues in your low sex drive.2. Where is your husband in this situation? Is he resentful, accepting, demanding or neutral?3. What is your past sexual history? has this had an affect on your current issue?4.Has there been problems in your past with abuse of any kind?5. Understand that intimacy is more than sex. What other ways can you be close to your spouse?6. It sounds like there is some confusion about sexual intimacy from both of you.Couples counseling would be a great place to start. All of these areas need to be explored before any treatment goals can be established.You need to talk with a professional counselor to explore how to better connect with your spouse."," I am sorry to hear of your husband's sudden sudden change of heart.  There is a good chance he did not disclose this to the other partner, and in order for this to be beneficial, the husband needs to be protected from his actions.  And in addition to him being afraid to speak to his ex about his feelings, he may believe it is him doing the talking. The ex's job is to prepare the two of you for any difficult situations that come up.  If the husband is not ready for this conversation, it makes sense that he would first want to prepare himself for any difficult future conversations with his ex.  Then he will have a better idea of what he can do to prepare.  Good luck"
37,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.","It's encouraging that you say you want ""to be better connected with [your] husband,"" and since he hasn't left you, he must care about you and the relationship more than he does about just having sex. You don't say whether he complains or not, but even if he doesn't it seems there's a sense of something important missing for both of you.Most likely to connect better with him physically you'll need to become better connected with yourself and your body. Men often feel fulfilled by sex simply because it happened - the woman they want received them, allowed them to make love with her. For women that can sometimes be more complicated. A woman who loves sex most likely also loves her body, knows what pleasures her, and feels confident asking for what she wants. Self-pleasuring can be a way for you to discover more about your sexuality, and a classic resource is Betty Dodson's book Sex for One: The Joy of Selfloving. A good counselor or sex therapist can be very helpful with your whole relationship as well as the sexual part of it, but not all counselors are comfortable working with sexual issues. Shop around and be sure you find someone who can help you and your husband get better connected on all levels."," Maybe your husband doesn't know you want to be better or have a desire to make you better?Since he says he doesn't know, you can ask him if he's aware of how he feels about your sex life and whether he feels the same way about it.If he is aware of how he feels, then yes, you should tell him.If he is unaware of how he feels about your sex life, then you should ask him"
38,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.","The numbers you write are low compared to how much sex many other people would be satisfied having.The key is your and your husband's satisfaction with the amount of sex you are having.And, know if there are reasons besides low sex drive that possibly explain this.Knowing the other possibilities matter because a low sex life may mean one of you is being satisfied sexually outside the marriage or that one of you prefers sex with a same gendered partner.If you've ruled out these possibilities, and you are satisfied with your emotional and financial life in the relationship, then a low sex drive may simply be the norm for the two of you."," I am sorry to hear of your husband's sudden sudden sudden change of heart.  He should be able to change his attitude at this very early date.  Don't get me wrong, he has done this to many women before, but this is a common response men tend to look for sudden changes in their moods and emotions.  This is a response of his to a stressful situation.  Ask him if he is willing to talk to you about this.  When are you willing to willing, and what kind of help do you want to give to your husband?  Depression is a very basic human emotion.  It is not everyone's reaction.  Some people express depression by accident, and then cannot deal with life's problems.  Others, because they are not confident enough to share their problems with others.  Drives many to self-harm.  Ask yourself, if you were honorably assassinated, what would be possible from here.  Many people are not likely to seek protection money, or other resources.  But you can certainly blame yourself for their actions, not you God-ordained end of this earth for causing them.  I hope you will find happiness and peace soon"
39,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.","There are a lot of different things that could be playing a role here.First, different people have unique levels of sex drive, and sometimes there is a hormonal imbalance.Because you say both that there is a possibility that neither one of you ""actually knows what you're doing,"" and you want to be better connected with your husband, consider having some time where you sit together and touch each other in nonsexual ways and communicate about what you like and don't like. One person would be doing the touching and the other would be communicating. Then the rules would switch. After you both become comfortable with that, you could try the same thing with touching that is sexual in nature.Dr. Tammy Nelson is a therapist who specializes in relationships and sexual issues and she has several books and lots of other resources on her website: https://www.drtammynelson.com/There are actually therapists who specialize in sex therapy and if you are interested in that, you would want a therapist who is a CSAT (certified sex addiction therapist). This does not mean that they only specialize in sexual addiction, but they do have special training in discussing sexual elements of relationships and their training is quite extensive.In addition to connecting sexually, you may consider discussing with your husband whether each of you are aware of things that make you feel valued, special, loved, and appreciated. It may be that making positive changes related to your sex life would also improve your relationship, and vice versa."," Maybe your husband doesn't know you want to be better or have a desire to make you better?Write down your reasons for wanting to be better and put them in wording that doesn't accuse him of anything. If he says no, then maybe this is a good sign that you think he has no interest in being in a relationship. If he says yes, this may be a result of not being properly in the relationship"
40,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.","When it comes to sex drive, we are talking adrenal function, and a little bit of kidney;The endocrine glands require a bit of pumping up to improve one's sense of desire, motivation, and joy;Consider herbal formulas centering around woman's reproductive function to improve desire;To improve his, there are herbs for the man's side as well :)"," I'm sorry to hear about your husband's high sex drive.He may believe there are too many things on the internet that he doesn't know about the importance of the topic.I'm guessing he doesn't know about the importance of the topic?He may feel unable to talk about it with you.If he does know, then tell him so much about your husband's sexual relationship with your wife that it outweighs the sex drive of the other guy"
41,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.","In order to develop a better intimate connection with your husband, it's important to first cultivate a strong connection with yourself.  I would take some time to explore your own body, notice what feels pleasurable, and play with different ways to achieve orgasm on your own.  Explore your own willingness to be open emotionally, sexually, and to play and have fun.Once you've engaged in a process of self exploration, I would check in with yourself and be honest about why you're not enjoying sex.  Are there specific reasons you're not enjoying sex with your husband?  Sometimes the reasons might be of a sexual nature and other times there could be emotional blocks (or anxiety) or other reasons that prevent you from wanting to be fully open and let go with your partner.  From a sexual perspective, I would explore what you can do to increase your own pleasure, learn ways to communicate your needs in a loving way, and focus on pleasure and play (rather than outcome and orgasm).   Begin by taking the pressure off orgasm and enjoy a naked massage together-- focusing on exploring what feels pleasurable.  Lastly, if you're wanting to learn new skills, check out a local sex workshop."," I am sorry to hear of your struggles.  One of the contributing factors that may be thought to be the greatest impact is in sexuality.  There are many different ways to explore and interpret your sexual thoughts and feelings.  If you are interested in engaging in deep reflection about these feelings I would suggest discussing them with a therapist, even if you are not directly related to your husband.  The relationship would be further developed and addressed by a therapist who is professionally trained to help you explore your sexual thoughts and feelings"
42,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.","Hi there, Thank you for your openness about the challenge you are experiencing in your relationship. Sexual intimacy is an important part of many people's life, but how much importance is placed on it varies from couple to couple. The first step would be to have an open conversation with your husband. It's important you are both open about what you desire from sexual intimacy and how much intimacy each one of you wants. For example, asking your husband how often does he want to have sex/ week or /month. When having this conversation, it's important that you are both respectful and open with each other. The point of the conversation is to get to know each other and not to solve a problem, yet. There are couples who enjoy fulfilling platonic/friendship relationships with minimal or no sex because both partners are not interested in it. If you are both on the same page - lack of sex might not be a problem. If there is a difference in your sex drive and frequency of desire, I would recommend seeing a professional relationship & sex therapist as a couple to help you explore your current sexual dynamic, what's creating it, what's getting in a way of connecting sexually and to assist you and your husband in finding creative solutions."," Maybe your husband doesn't know you want to be better or have a sex drive that's different than your sex drive.Maybe he doesn't want to help you feel validated by the idea that he's the one in the position to make you feel that connection.I'm curious about why this is the case for both of you.Do you notice that your sex drive is the same as the one across the board?  Are you satisfied with your marriage as it is? If so, where did the energy come from?What does your husband want from the marriage?What does your husband love about you? Does he care for you?  Does he care for you?  Does his kids love you?  Do you feel he does care?  Do you care for him in any way?  Do you care for him?  And who is he/she that he is able to be silent and have a conversation with your husband without you having to ask questions?Basically, there is no good reason for you to continue seeing him without asking questions.If he doesn't want to talk to you because you're asking questions, then there are several things you can do to make him feel less heard.Here are some things:Ask a question.  Ask his permission.  Ask for what he needs.  Get a list of family and friends who want to support you.  Get a contract with him to do this.  Please reach out.If he doesn't want to talk, then again you probably should talk to someone who knows him and/or see if there's anything that you can do to make him feel more involved in his life"
43,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.","I work with many couples that experience a wide range of sexual and relationship challenges. The one aspect I tell many folks that I work with, is this: Every person and relationship is different. There really isn't a ""normal"" amount of sex a person should have or want to have. If having sex 4 to 5 times in the course of your relationship is satisfying to you and your husband, there is nothing wrong with it. If you or your husband would like to have sex more often, I suggest talking with a counselor about this to find ways to engage in a sexual life in which you are both satisfied. The aspect of connectedness is an important one. While sex can be very connecting for many couples, it isn't the only way to connect. I find that communication about the matter of frequency of sex, checking in to see how you and your husband feel, as well as communicant about your needs for connection are an important start to fulfilling this need."," Maybe your husband doesn't know you want to be better or have a sex drive that's not related to sex. He may feel like he wants to be with you and that you're not related. Perhaps you do want to know the secrets he puts up with your bf.There's no way to know whether your husband will listen to your sex wishes or not. If he is listening, try to listen as one person does not equal one another"
44,"I'm in my early 20s, and I've been seeing my boyfriend for a year now. My boyfriend has always been the sweetest guy until recently. He has made comments such as “you would look better as a Tumblr girl"" or ""you should start doing more squats."" It's really hurtful.","My first thought was that I wondered what changed recently. Is he open to having a discussion about this so you can ask questions such as that one?It's possible that he does not understand the degree to which it hurts you.Try asking if there is a time that would be good to have a discussion that is important. I don't know how well the two of you have communicated over the last year, but if you are concerned about this turning into an argument, you may consider asking him to just listen to your point of view and see if he is able to summarize it correctly. Then you can listen to his side of the concern.", Hi. I appreciate your honesty. squats is a very specific description of your body type. pose specific poses and responsibilities for your particular body type. responsibilities and responsibilities for your body type. can be performed in any sport or activity and with good technique and formulation you can achieve those goals. Good luck
45,"I'm in my early 20s, and I've been seeing my boyfriend for a year now. My boyfriend has always been the sweetest guy until recently. He has made comments such as “you would look better as a Tumblr girl"" or ""you should start doing more squats."" It's really hurtful.","Hello, and thank you for your question. I am very sorry that you are experiencing this. To be honest, this kind of behavior is really emotionally abusive, and you likely know that already. The unfortunate truth is, there is very little we can actually do to change another adult's behavior if they are not interested in changing it. Many people who behave in this way actually feel justified in saying what they say, or even believe that they are ""helping"" in some way by telling you how to improve yourself. What is actually going on is an attempt to control or change something about you by being coercive and abusive. It is important to know that this kind of behavior doesn't necessarily show up right away. That is why I am not surprised that you are a year in to this relationship and are just now noticing these behaviors. Some people actually don't see them until they are already married! You didn't mention that there has been any physical abuse, but I would warn you that this is sometimes a possibility once a person has already begun to be emotionally abusive. Other things to watch out for is your boyfriend trying to control who you hang out with, what you do and how you dress, etc. These are just more examples of emotional abuse and control. Here are some things to consider and some ideas:1. You could talk to your boyfriend about this behavior, if you believe it is safe to do so. Perhaps he will recognize that his behavior is not okay, and change. If not, then you may need to decide what you want to do about this relationship, given the fact that you cannot force him to change. 2. You can call a local domestic violence program. They do not only work with people who have been physically abused or have been married. They are trained to talk about emotional abuse, also. It may be a good thing for support. Your calls are confidential. 3. Check out the wheel in the link below. On it you will find some other common ways that abuse can happen in a relationship. If any of these are happening to you, or begin to happen, talking to a domestic violence program, a trusted friend or family member, or a counselor would be a good idea. http://www.domesticviolence-wilm.org/Portals/97/Images/violence_wheel.gif  Be well.... Robin J. Landwehr, DBH, LPC, NCC"," Hi. I appreciate your honesty. squats is a very specific description of your body type.  The way your description fits with other areas of your life is that you are probably a very picky person and when you try to identify what qualities you like about yourself, you are usually met with the response of ""you're too picky!"" from the other person.  This is a very unhealthy relationship and can demoralizing.  It is really a good thing you are self aware and your descriptions need to be followed through.  You may want to  begin therapy to address these traumatic experiences and any lingering issues that may be contributing to your depression.  There is hope and you can make the choice to start somewhere.  The ultimate goal, then, is to find the therapist and begin a healing process of healing from your past and present suffering.  It's the ultimate goal.  You can Present your healing at the things you care about and begin to move forward.  You can Present your healing at the things you care about and begin to move forward.  ...that's what you needed to do"
46,"My fiancé and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me. We live two hours from family, and when I leave home to see family, he'll text me saying ""whatever"" and ""leave me alone."" But when we're together, everything is okay. No fighting or anything. I love this man, but I just don't know what to do anymore.","Hello, It doesn't feel good when it seems that your partner no longer cares or cares less for you, especially if your feelings have not changed. It can be scary, frustrating, and lonely. Have you tried talking to him about your concerns? I would suggest to start there. There may be several reasons for his actions, some of which may have nothing to do with how he feels for you. Learning about what is going on for him will likely answer your questions and, depending on his response, may cause some relief. When initiating conversations about subjects that are sensitive, there are a few things that you want to remember. Tell him how you are feeling and what you are experiencing, rather than blaming him or telling him what he is doing wrong. Avoid using extreme, black and white language (i.e. always and never). For example, you may say something such as, ""I feel confused that we are rarely intimate and I'm wondering if you've also noticed this change"" versus ""You are never intimate with me anymore."" Don't be afraid to ask him questions. You deserve to know what is going on, as his behavior is effecting your well being. I like to ask open-ended questions instead of yes and no questions. It allows for more clarity and deeper explanation. Lastly, ask yourself (and possibly him) what part you play in the recent changes. Does he feel that you've been distant? Does he need something from you? Let him know that you are willing to work things out as a team. If communication attempts fail, seeing a couple's therapist can be a great benefit. Having an objective party to coach you through this difficut time can give you the support that will create lasting changes in your relationship.Best of luck to you!", I'm sorry that you are having such a difficult time with this situation.  I would offer my thoughts and theories as to what may be creating your difficulty.  I'm not sure what all of this means exactly.  Maybe it means that you just don't like the fact that your boyfriend is talking to you and thinks you're annoying and doesn't interest you?  Maybe you need some kind of reason to stay in the relationship and not engage in the sex life with him.  Maybe you need a time to think about what made you stop communicating and instead make use of it to reach out.  Remember that you can only guarantee future well-being to yourself and your partner
47,"My fiancé and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me. We live two hours from family, and when I leave home to see family, he'll text me saying ""whatever"" and ""leave me alone."" But when we're together, everything is okay. No fighting or anything. I love this man, but I just don't know what to do anymore.","Your situation sounds a little painful.Have you brought up any of these topics for discussion with your fiancé?Now is a good time for finding out if and how your future husband is interested and addresses the way you are feeling.Until the two of you open up what bothers you, all you or anyone who talks to you about the situation, can do is take guesses as to what is driving your finance's behaviors.Also, in the moment of when your fiancé texts you words you find surprising or startling, you can tell him this.   Maybe by being clear and truthful about how what he writes affects you, then next time he will change what he tells you.And if he doesn't, then you know that you explained yourself, he had this information about you and that , he isn't that willing to consider what you told him. Really, the best first step is to open up all the topics you wrote about here, with him.  This way you'll give each of you to discuss how to care about one another in a meaningful way.", I'm sorry that you are feeling this way.  It is normal to feel sad and dejected after a cheating scandal.  You've learned a lot from the experience and have a strong support system within the marriage.  You've also learned a lot about yourself and how you relate to others in addition to how you actually are able to truly relate to your partner.  I would encourage you to seek out a marriage therapist to help you in healing your way
48,"My fiancé and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me. We live two hours from family, and when I leave home to see family, he'll text me saying ""whatever"" and ""leave me alone."" But when we're together, everything is okay. No fighting or anything. I love this man, but I just don't know what to do anymore.","Hi Rockford, While no relationship is ""perfect"", and it's natural for the passionate beginnings of a relationship to lessen with time, because we have established the trust and love needed as a foundation and we don't have to smother each other with attention anymore, your situation sounds like something different. ""He has no time for me""... yet you don't fight. Hmmm...Is it that you don't fight because you don't bring up what's bothering you? Are you avoiding conflict? Many people do. What do you fear would happen if you let him know how you feel about his recent pulling away? As an engaged couple, now is a really good time to see what happens when you bring a concern to your fiance. Better to find out now what happens when you rock the boat by being real. Or maybe you have spoken to him about it. If so, what happens? Does he listen and help you understand him better? Or does he avoid and reassure you...or maybe dismiss you? This is really important data to gather about how your fiance handles conflict and how you work together. He says ""leave me alone"". That's a pretty bold statement about what he wants. He doesn't seem to have the same idea that you do about what marriage is, and how close you want to be. Plus, I have to say, those words sound more like what a closed-off fourteen year old would say to a parent than a loving fiance to his bride to be! Giving him the benefit of the doubt, it could be that your fiance is scared about getting married and this is a temporary reaction that will change. But if this is true, he needs to tell you that so you can understand. So, I suggest that the fact that when you're together you're ""okay"" is perhaps not the best barometer for how you're doing as a couple. Listen to your gut. I encourage you to be really open with your fiance about what your feelings and fears are. This may get rockier before it gets better, but until you face what's not working, you won't know who you truly are as a couple.  When you're engaged, it's a really cool time to see a therapist too...to get some conflict resolution skills down before you're a married couple."," I'm sorry that you are having such a tough time with this. I'm glad that you are aware of the negative effects on your relationship that may be coming from engaging in nonsexual touching. It sounds like you are happy to be touched and not questioning your love for him. A good therapist can help you to process your feelings about sex, intimacy, and he'll be able to help you examine your own reasons for not taking his advice seriously"
49,"I've been with my husband for eight years now. We have split twice before, and the first time was because he cheated. I took him back months later, and he really tried making it up to me by making a lot of changes. However, we continued to have issues because of my lack of trust. My insecurities and trust issues lead to physical abuse, which lead to us separating again. During that separation, he consoled himself by talking to the same girl he cheated on me with. But we then ended up back together and worked it out for a while until I got pregnant with our second child.
   The baby was a few months old, and he confessed to me about his secret relationship with her. He told me how he could never stop talking to her and how, during our issues, she has been and is the only women he's gone behind my back with (but on a friendship level because she's miles away). He confessed how he fought feelings for her and feels like he's possibly in love with her too. He said he feels like he's in love with the both of us now because this women has fallen for him, and she hasn't been able to leave him alone since. Even though she knows that he's still with me and happy with our family, she can’t help it, and he confessed how his feeling for her are mutual. Being that he loves me too, he wanted to be with the both of us at the same time. He wanted to have affairs with her behind my back by flying her out and staying at a hotels, but he didn't want me to find out, so he told me everything. He said he didn't want to continue to lie to me and so I can finally stop accusing him of being with other women when it's only been this one girl the whole time. He feels like my insecurities and trust issues are what pushed him closer towards her, and that no matter what he did to do right, I would still accuse him. He's caught up in his feelings and pretty much says that he wants her but doesn't want me to leave him because I'm the one he wants to be with for the rest of his life.
   I'm of course hurt and in shock. I feel like I have to make a decision on whether I want to allow it and deal with having to share him or walk away. Both of these decisions are really hard to make because I feel like whether I stay or go, my heart will still be torn apart. I have to make a decision quick because she will be flying out sooner than I thought.","Hi Jayuya, I'm struggling in this moment with my own biases. I have biases that are about respect and every individual's need for and right to respect. Your husband lies, cheats and physically hurts you. He makes excuses and blames you for these behaviours and trains you to do the same. He demonstrates many controlling and abusive behaviours. And now, in an attempt to manipulate and silence you, he wants to have his cake and eat it too and suggests you should share him? There aren't many crumbs of this cake left for you, are there?So, my biases about respect don't make me want to rescue you or tell you what to do; I can't do that, and I don't think either of those things will help you. I'd like to ask you some questions though...Are you happy? Do you know what happy is? Do you know what respect is? Are your children safe? Are your children witnessing violence (because if they are, then they're not safe)? Do you have supports? Do your family and friends know what's happening in your life? Have you ever been to a women's shelter? Are you willing to sit down in an office with a professional who can help you think clearly? That's what I suggest. These are big decisions, you deserve some support. I wish you the best."," I think the hardest part for you is trusting yourself to follow your husband's rules.  ""You're not doing what he wants me to do, but I don't want to spoil anything for him.""If you're really honest with yourself about this, you'll feel better because you're letting your husband know you feel frustrated and unsure about your relationship.  He might be a good parent, but you won't feel guilty if you feel like he is doing something  unethical.These two of you didn't suggest that there be an ethical affair.  There should be an ethical affair.  It might help to have a conversation about the details of this issue with him.  The discussion will focus on the two of you and your relationship with him.  It might be something that  the two of you should reach out to.  You can also contact the couple marriage therapist at any time to discuss any concerns that you have.The couple marriage therapist also agrees that it would be helpful to speak with someone from the couple to sort through these issues"
50,"My wife is trying to leave. She agreed to come back and give me a little time. Even said she hopes I can do it. We buried our first born in Jan 13 years ago. She never got past it. So every year around this time, she gets emotional and says she doesn't think she loves me, but then we go back to normal. This time, another guy came in and showed her attention. I'll forgive the cheating if she'll come home.","I'm sorry that you lost your first born child.  Death of a child always leaves a permanent reminder to the parents of a very painful time in their lives.The good news is your awareness that you and your wife are not connected in a satisfying way.There are many possible areas to examine in your relationship as partners and as parents.If what you write here are your observations and theories about your wife's outlook and conclusions, then the first step is to directly have conversations together on the topics you write here.What needs clarifying is what her reasons are for wanting to leave the marriage.Often, a crisis such as a child's death, motivates someone to look deeply into other intimate relationships.  Keep in mind that looking deeply doesn't necessarily mean leaving the marriage.Also, be aware of your own frustrations and marital discontent.  Be ready to talk about your feelings and uncertainties.There is no such thing as one happy partner in a marriage and one unhappy partner.   Each person is part of a system and can only be as satisfied as their partner.The conversations that open relationship hurts and disappointments, hold a lot of emotion.  They are difficult to keep on track.Best recommendation is to find a couples therapist who will be neutral to each of you as individuals, and help both of you examine the true health of the relationship."," Forgiving and untrained a pregnant woman who is envious of you.You're description of each other, suggests a delicate balance of caretaker and partner; both of whom are capable of caring for the woman seriously (if you are not already fully equipped to handle this).The woman is cared for and released from the woman's grasp.The two of you--you can be both open to healing and releasing yourself from the woman's clutches.The key to feeling secure and safe is to identify how you each feel about the other, once and for all.  Once you feel safe enough to do this, the next step is to identify how you would like to feel about that other person in the future. The information is as broad as possible and the choice is to concentrate on this until you find the answer"
